index,rotation_x,rotation_y,rotation_z,initial_rot_x,initial_rot_y,initial_rot_z,finished,path
111,71.7948717948718,-18.461538461538467,2.051282051282044,0.0,0.0,0.0,False,
112,71.7948717948718,-18.461538461538467,6.15384615384615,0.0,0.0,0.0,False,
113,71.7948717948718,-18.461538461538467,10.256410256410255,0.0,0.0,0.0,False,
114,71.7948717948718,-18.461538461538467,14.358974358974361,0.0,0.0,0.0,False,
115,71.7948717948718,-18.461538461538467,18.461538461538467,0.0,0.0,0.0,False,
116,75.8974358974359,-18.461538461538467,-14.358974358974361,0.0,0.0,0.0,False,
117,75.8974358974359,-18.461538461538467,-10.256410256410255,0.0,0.0,0.0,False,
118,75.8974358974359,-18.461538461538467,-6.153846153846159,0.0,0.0,0.0,False,
119,75.8974358974359,-18.461538461538467,-2.051282051282053,0.0,0.0,0.0,False,
120,75.8974358974359,-18.461538461538467,2.051282051282044,0.0,0.0,0.0,False,
121,75.8974358974359,-18.461538461538467,6.15384615384615,0.0,0.0,0.0,False,
122,75.8974358974359,-18.461538461538467,10.256410256410255,0.0,0.0,0.0,False,
123,75.8974358974359,-18.461538461538467,14.358974358974361,0.0,0.0,0.0,False,
124,-75.8974358974359,-14.358974358974361,-18.461538461538467,0.0,0.0,0.0,False,
125,-75.8974358974359,-14.358974358974361,-14.358974358974361,0.0,0.0,0.0,False,
126,-75.8974358974359,-14.358974358974361,-10.256410256410255,0.0,0.0,0.0,False,
127,-75.8974358974359,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
128,-75.8974358974359,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
129,-75.8974358974359,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
130,-75.8974358974359,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
131,-75.8974358974359,-14.358974358974361,10.256410256410255,0.0,0.0,0.0,False,
132,-75.8974358974359,-14.358974358974361,14.358974358974361,0.0,0.0,0.0,False,
133,-75.8974358974359,-14.358974358974361,18.461538461538467,0.0,0.0,0.0,False,
134,-71.7948717948718,-14.358974358974361,-18.461538461538467,0.0,0.0,0.0,False,
135,-71.7948717948718,-14.358974358974361,-14.358974358974361,0.0,0.0,0.0,False,
136,-71.7948717948718,-14.358974358974361,-10.256410256410255,0.0,0.0,0.0,False,
137,-71.7948717948718,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
138,-71.7948717948718,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
139,-71.7948717948718,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
140,-71.7948717948718,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
141,-71.7948717948718,-14.358974358974361,10.256410256410255,0.0,0.0,0.0,False,
142,-71.7948717948718,-14.358974358974361,14.358974358974361,0.0,0.0,0.0,False,
143,-71.7948717948718,-14.358974358974361,18.461538461538467,0.0,0.0,0.0,False,
144,-67.6923076923077,-14.358974358974361,-18.461538461538467,0.0,0.0,0.0,False,
145,-67.6923076923077,-14.358974358974361,-14.358974358974361,0.0,0.0,0.0,False,
146,-67.6923076923077,-14.358974358974361,-10.256410256410255,0.0,0.0,0.0,False,
147,-67.6923076923077,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
148,-67.6923076923077,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
149,-67.6923076923077,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
150,-67.6923076923077,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
151,-67.6923076923077,-14.358974358974361,10.256410256410255,0.0,0.0,0.0,False,
152,-67.6923076923077,-14.358974358974361,14.358974358974361,0.0,0.0,0.0,False,
153,-67.6923076923077,-14.358974358974361,18.461538461538467,0.0,0.0,0.0,False,
154,-63.58974358974359,-14.358974358974361,-14.358974358974361,0.0,0.0,0.0,False,
155,-63.58974358974359,-14.358974358974361,-10.256410256410255,0.0,0.0,0.0,False,
156,-63.58974358974359,-14.358974358974361,-6.153846153846159,0.0,0.0,0.0,False,
157,-63.58974358974359,-14.358974358974361,-2.051282051282053,0.0,0.0,0.0,False,
158,-63.58974358974359,-14.358974358974361,2.051282051282044,0.0,0.0,0.0,False,
159,-63.58974358974359,-14.358974358974361,6.15384615384615,0.0,0.0,0.0,False,
160,-63.58974358974359,-14.358974358974361,10.256410256410255,0.0,0.0,0.0,False,
161,-63.58974358974359,-14.358974358974361,14.358974358974361,0.0,0.0,0.0,False,
162,-59.48717948717949,-14.358974358974361,-14.358974358974361,0.0,0.0,0.0,False,
