spin,sidespin,Index,MAE,spin_x,spin_y,spin_z,rps
-2,-2,3,0.0586285590209068,-180.50550478,-76.66698599,211.70427197,45.9290289905003
-2,-1,4,0.02869284787953,-106.61475856,-19.33509196,219.50345595,38.9595956033888
-2,0,5,0.0795133594858235,-31.59743588,23.00963123,231.07022743,37.2984256372971
-2,1,6,0.0740275900465886,55.69415717,68.99824089,237.60260333,40.3631474926426
-2,2,7,0.313129153133002,130.25355851,122.54827618,223.46723959,45.5532689437538
-2,3,8,0.0401222489421065,190.2845291,131.8735099,257.91885927,55.1606701155044
-2,4,9,0.0370511336989286,252.25505137,171.83619371,267.25386265,64.5676746700103
-3,-5,0,0.0545955209860771,-299.05294952,-149.25923558,323.02051958,73.9776490210387
-3,-4,1,0.122378288576444,-244.41486641,-90.26969409,300.92196043,63.35111897535
-3,-3,2,0.0642903931207797,-181.69333465,-54.24286887,302.25533803,56.7880016344039
-3,-2,3,0.29699391970194,-112.71803887,-15.86624311,292.24490398,49.9158665367583
-3,-1,4,0.121449820289404,-50.7949774,8.87274102,294.35939137,47.5621190827099
-3,0,5,0.063374927226481,-18.76451982,27.84073285,298.62885509,47.8276907704942
-3,1,6,0.0509142861554889,10.00172788,47.63189918,298.19108943,48.0865947836079
-3,2,7,0.0474828567419482,79.52767936,75.43298875,309.81673688,52.3039415787868
-3,3,8,0.109308976796304,140.03471252,107.71284381,317.42290069,57.8170885528883
-3,4,9,0.0967185052952898,206.43753726,160.91635481,321.59919132,65.9939708854676
-4,-5,0,0.0792676132953901,-326.00148551,-138.26403206,475.37114591,94.3416533246115
-4,-4,1,0.0617952380335085,-256.21002294,-113.03792182,466.08891848,86.5399097916912
-4,-3,2,0.0492526552584339,-198.90577951,-47.67375765,463.17165407,80.5840121125618
-4,-2,3,0.0656534327382158,-146.7236636,-28.35038635,458.06460123,76.6847356778986
-4,-1,4,0.113152516708884,-77.97865796,14.94253125,454.62285706,73.4506343178044
-4,0,5,0.151625466329255,-27.35841151,50.67457548,450.57351026,72.2943496638193
-4,1,6,0.502138060114197,17.81201754,79.06541813,453.7548967,73.3602633069914
-4,2,7,0.073377686391261,97.54632368,112.32932265,466.98303488,78.0031863807576
-4,3,8,0.094788283572609,129.25816942,152.2389,477.99641981,82.4485488051009
-4,4,9,0.0531479731726425,179.54049122,178.72296968,481.96761524,86.6582910285348
-5,-5,0,0.137187756684516,-347.50819726,-172.72343538,614.08251594,115.614062498954
-5,-4,1,0.213718847756146,-272.615035,-66.50395363,632.95197589,110.193386158989
-5,-3,2,0.203005009392293,-240.49598269,-75.21483512,604.55099644,104.240716243002
-5,-2,3,0.156898818370149,-170.18541001,-4.62848824,590.48135215,97.8062127283637
-5,-1,4,0.41477878168648,-70.63595485,42.40864634,609.51602244,97.8896981967162
-5,0,5,0.107258515904672,-24.34438221,59.40396895,609.74539219,97.580402413828
-5,1,6,0.268373458482519,29.01193233,48.44969988,604.27925628,96.5930853988389
-5,2,7,0.1227928914113,116.03610335,143.00846287,600.55664879,99.9746551058006
-5,3,8,0.0404158701161847,151.07402695,174.44454879,609.23056699,103.685035405143
-5,4,9,0.119416082451532,224.75378659,221.88780033,620.44522221,110.804390831026
-5,5,0,0.0766939186940198,-532.85866145,-568.47387634,-1397.39888142,254.6391818821
-4,5,1,0.245645842581847,233.77955902,212.05512409,500.85104468,94.2208052812589
-3,5,2,0.0663417838074614,265.33896774,195.85952332,331.03033886,74.3692759485961
-2,5,3,0.110964746924216,272.7242921,191.86448494,258.28596092,67.1290868212705
-1,5,4,0.129689558964555,278.17858356,175.50534763,169.70388172,58.9055770736776
0,5,5,0.0392502266276958,264.16774466,169.47317567,87.12304572,51.8405982458385
1,5,6,0.112253965272365,257.6031376,178.84698134,20.75985155,50.0203985464951
2,5,7,0.28901429368992,223.82206181,137.56538718,-71.2175871,43.3218748870561
3,5,8,0.0519132592023284,191.64824892,116.41383842,-123.23585784,40.7226185136774
4,5,9,0.0718334411979585,164.49782101,88.0853498,-231.82884913,47.3638204399795
5,5,0,0.124234713779345,177.14347866,86.80233959,-310.14628529,58.5000350347117
6,5,1,0.145778192886579,133.89740115,72.2299502,-556.29279714,91.7880316090695
7,5,2,0.0877219174920783,122.13301755,19.53002848,-823.11094091,132.4729031764
